payroll_id,employee_id,department,pay_period_start,pay_period_end,gross_pay,tax_withheld,net_pay,payment_date,pay_type,created_at
e081bf16-0d24-47ff-8dcb-0d66736e35ff,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-01-01,2021-01-31,12925.0,2928.49,9996.51,2021-02-02,Salary,2021-01-31
be34c524-e4d9-43ea-ac5f-29f0800944ec,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-02-01,2021-02-28,12925.0,2928.49,9996.51,2021-03-02,Salary,2021-02-28
afd22005-6c64-4d13-b2e1-64468e43642a,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-03-01,2021-03-31,12925.0,2928.49,9996.51,2021-04-02,Salary,2021-03-31
db81fe99-506d-449d-9014-7c08022cd5f6,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-04-01,2021-04-30,12925.0,2928.49,9996.51,2021-05-02,Salary,2021-04-30
bea70a19-d4a1-4915-a197-d068be26e70b,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-05-01,2021-05-31,12925.0,2928.49,9996.51,2021-06-02,Salary,2021-05-31
31fceb92-d7b3-4c82-9c62-2abeb4682d9d,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-06-01,2021-06-30,12925.0,2928.49,9996.51,2021-07-02,Salary,2021-06-30
216b5096-c3fe-4354-8c8d-25fab3dfc71d,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-07-01,2021-07-31,12925.0,2928.49,9996.51,2021-08-02,Salary,2021-07-31
12c22317-9890-4535-ae4a-fe37ae243c97,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-08-01,2021-08-31,12925.0,2928.49,9996.51,2021-09-02,Salary,2021-08-31
486977b0-6d89-4e1d-ba5c-65d116bff6bd,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-09-01,2021-09-30,12925.0,2928.49,9996.51,2021-10-02,Salary,2021-09-30
dc5c956a-b3da-4575-a9cd-f5a556bb99f8,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-10-01,2021-10-31,12925.0,2928.49,9996.51,2021-11-02,Salary,2021-10-31
df471305-87a7-4798-9165-fad952430db4,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-11-01,2021-11-30,12925.0,2928.49,9996.51,2021-12-02,Salary,2021-11-30
8f4b6623-1faa-4212-acb3-782b0bc90111,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2021-12-01,2021-12-31,12925.0,2928.49,9996.51,2022-01-02,Salary,2021-12-31
d790695a-547e-46cd-8772-4d081f97945c,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2022-01-01,2022-01-31,12925.0,2928.49,9996.51,2022-02-02,Salary,2022-01-31
43c4e387-9770-49e9-afd2-36e3439c2ae4,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2022-02-01,2022-02-28,12925.0,2928.49,9996.51,2022-03-02,Salary,2022-02-28
fc0efe1d-d6a3-4531-b05c-bf2cdff658f0,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2022-03-01,2022-03-31,12925.0,2928.49,9996.51,2022-04-02,Salary,2022-03-31
a4162719-4551-41b6-a5b6-86c306604618,6cc5b973-aa70-4cbd-b596-052e774fb9db,Engineering,2022-04-01,2022-04-30,12925.0,2928.49,9996.51,2022-05-02,Salary,2022-04-30
