subscription_id,customer_id,product_id,plan_name,status,mrr,start_date,end_date,created_at,updated_at
1d2dd58f-cacb-4121-90fe-20e84340bd58,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business,Active,1199.0,2021-02-15,,2021-02-15,2024-12-31
ee4c7699-afe9-4da3-a41b-35500bcb16ad,446c7ae9-63fa-4eb1-bb1c-c954e71bd50e,9f3d57a1-d96e-4856-ae46-be466aa84503,Pro,Active,585.49,2021-08-24,,2021-08-24,2024-12-31
f7195cdd-7b67-4df6-9914-96e722eb4da9,e846ccf2-758d-42e3-b701-b82e3d74046a,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Active,299.0,2021-02-27,,2021-02-27,2024-12-31
6ca3d300-0253-47ca-b6af-2d959067e2f9,84e78361-c4a5-4f8c-8c80-cda13f632835,89b24ab9-242d-4912-9ecb-04dbc3963341,Enterprise,Active,2258.94,2021-03-21,,2021-03-21,2024-12-31
de851a81-9f81-4a20-b440-77808e9be261,5e90e81e-599a-4efc-945c-4fb069ec795e,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Churned,286.52,2021-06-05,2022-07-19,2021-06-05,2022-07-19
790b275a-2f38-4414-981d-9fcd3738ea52,0c40fbbe-029d-45fc-abc6-d2579e90708d,89b24ab9-242d-4912-9ecb-04dbc3963341,Enterprise,Active,2499.0,2021-11-29,,2021-11-29,2024-12-31
f0f06ac6-822b-4bd8-9a40-6164e555a8af,f9d6ef15-341d-4733-a775-0bf95c8e23ef,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Active,299.0,2021-02-11,,2021-02-11,2024-12-31
b3223dd2-1d44-413d-b633-853ae900d748,54d21cb5-bd21-4495-8d99-fa037d353f62,89b24ab9-242d-4912-9ecb-04dbc3963341,Enterprise,Active,2499.0,2021-08-25,,2021-08-25,2024-12-31
f3517c98-2640-4acf-81a1-d9c3bf8c80b2,aad92c67-2331-4623-8370-5cfb12d58d41,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Active,299.0,2021-11-03,,2021-11-03,2024-12-31
dc477ac1-691b-44f0-9b06-323ba71b644f,c02e9bb2-8caa-454d-b678-dbdc569a65d3,89b24ab9-242d-4912-9ecb-04dbc3963341,Enterprise,Active,2499.0,2021-12-23,,2021-12-23,2024-12-31
f565f059-694f-4c9d-b39d-ba63461d74ee,3e29dd0a-fb1a-414f-8387-3bf73f2a39f1,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Active,299.0,2022-01-25,,2022-01-25,2024-12-31
9166ce8f-a9d8-4a10-b5a2-17a2ca1541b4,15b48e3a-79d3-4ef4-8b19-017657df61fe,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Churned,299.0,2021-10-04,2023-07-01,2021-10-04,2023-07-01
89cd0e31-0823-4343-9c79-1106b8b78bec,5d124ae1-0f39-4b49-80a8-30d419343013,b355e1c4-d914-48f1-89b9-ea6c5554ddf8,Starter,Active,99.0,2021-04-04,,2021-04-04,2024-12-31
0356923a-5949-4770-8543-34eeaed405a9,ce852300-dbe8-4307-8fd0-200a50b22e0f,bf16ac86-1f74-4c16-9753-ce0f595f2600,Growth,Active,299.0,2021-05-04,,2021-05-04,2024-12-31
044e3490-7b44-4f78-b7ef-893ad7bf0675,3d7edd51-84d3-42e4-96f4-e3fe36f59890,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business,Active,1199.0,2021-04-02,,2021-04-02,2024-12-31
2723f48a-0b2f-469d-ae99-6dd7bab3ee16,3e191653-16bd-4b24-bea7-a8636a56313c,9f3d57a1-d96e-4856-ae46-be466aa84503,Pro,Churned,525.45,2021-06-21,2022-03-27,2021-06-21,2022-03-27
4a5d499a-2d2a-4a30-960a-12c94b0dcc04,b4a28cee-48ac-43d0-bb0d-500e9ae8decf,b355e1c4-d914-48f1-89b9-ea6c5554ddf8,Starter,Active,91.45,2021-12-07,,2021-12-07,2024-12-31
23c820bf-cb4a-4d65-b35c-bc6f177c192c,5b95e2d5-a83f-4577-9f1e-66343f8bfcf8,89b24ab9-242d-4912-9ecb-04dbc3963341,Enterprise,Active,2357.3,2021-02-20,,2021-02-20,2024-12-31
