bill_id,vendor_id,expense_account_id,bill_date,due_date,amount,status,description,currency,created_at
2c5d9d58-5c60-45ea-85ef-8ac18d6f8516,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-01-07,2021-02-06,2690.41,Paid,Amazon Web Services -- January 2021,USD,2021-01-07
0db3e49b-1516-4d47-b93e-ec01ac3c50ec,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-02-02,2021-03-04,2989.41,Open,Amazon Web Services -- February 2021,USD,2021-02-02
96dac519-07be-458f-affa-11ac8d95124a,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-03-07,2021-04-06,4220.1,Open,Amazon Web Services -- March 2021,USD,2021-03-07
9985b6f4-a7a3-421d-a8ed-24793f058fc2,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-04-04,2021-05-04,4296.1,Paid,Amazon Web Services -- April 2021,USD,2021-04-04
f1eed436-b621-40b5-92be-9eac5c790190,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-05-02,2021-06-01,5279.25,Paid,Amazon Web Services -- May 2021,USD,2021-05-02
8f040668-9866-4192-b2ab-fc8df546f52c,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-06-06,2021-07-06,4946.89,Paid,Amazon Web Services -- June 2021,USD,2021-06-06
b0d60fa3-cb34-4a16-ae99-4a9046b2f085,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-07-07,2021-08-06,4872.66,Paid,Amazon Web Services -- July 2021,USD,2021-07-07
df30e441-1310-4b9f-ae22-201d428898cf,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-08-03,2021-09-02,5105.44,Paid,Amazon Web Services -- August 2021,USD,2021-08-03
3c801feb-f8ee-43ab-82a8-0aa09e6b98d6,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-09-07,2021-10-07,3987.97,Paid,Amazon Web Services -- September 2021,USD,2021-09-07
4136bdad-472c-4865-9b95-ebd680bb458e,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-10-05,2021-11-04,4488.0,Paid,Amazon Web Services -- October 2021,USD,2021-10-05
433f0314-33e4-4012-8e87-1ed6396dd78a,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-11-07,2021-12-07,6683.26,Paid,Amazon Web Services -- November 2021,USD,2021-11-07
e075825f-7889-48e9-a244-4c7272671169,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2021-12-03,2022-01-02,6389.52,Paid,Amazon Web Services -- December 2021,USD,2021-12-03
c5aa1642-f1f3-4afe-b27d-cafae6f4f081,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-01-07,2022-02-06,4332.02,Paid,AMAZON WEB SERVICES -- JANUARY 2022,USD,2022-01-07
88b76aad-78ed-4670-a577-91267731304f,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-02-04,2022-03-06,6252.97,Paid,Amazon Web Services -- February 2022,USD,2022-02-04
e1c06c6c-27db-4bed-bf54-46f2c18f7835,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-03-04,2022-04-03,6665.21,Paid,Amazon Web Services -- March 2022,USD,2022-03-04
02a4242e-cd55-4325-89c4-5c5809c4543a,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-04-02,2022-05-02,7656.61,Paid,Amazon Web Services -- April 2022,USD,2022-04-02
07624696-65a1-4705-beb3-daa8ea5f9fe2,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-05-07,2022-06-06,7659.21,Paid,Amazon Web Services -- May 2022,USD,2022-05-07
c1be57b2-7bfd-4ad5-bee1-c12644bd5373,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-06-02,2022-07-02,6050.32,Paid,Amazon Web Services -- June 2022,USD,2022-06-02
c0eb04e2-bf72-4008-bb3e-2f21ad5608cc,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-07-02,2022-08-01,6886.8,Paid,Amazon Web Services -- July 2022,USD,2022-07-02
6c19f876-31d7-4143-8c4e-595d2d662202,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-08-02,2022-09-01,7095.36,Paid,Amazon Web Services -- August 2022,USD,2022-08-02
9c56436c-1e8b-4888-a2b7-a075572b0f31,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-09-05,2022-10-05,4409.53,Paid,Amazon Web Services -- September 2022,USD,2022-09-05
e443b15a-ebc8-4a9c-8b58-31119c7651ac,98e34843-f453-4b8e-8443-422f4eccd778,65c70ecf-6e4c-4d6b-94ef-fe45ea0d16e3,2022-10-03,2022-11-02,4449.05,Open,Amazon Web Services -- October 2022,USD,2022-10-03
