customer_id,company_name,industry,segment,region,billing_email,credit_limit,created_at,is_active
94366ae4-c6b2-4556-bb46-8c8df9354f71,"Rodriguez, Figueroa and Sanchez",FinTech,SMB,Southeast,jillrhodes@miller.com,250000,2021-02-14,True
5bc74bb5-2227-46fa-bfc4-aea79c4607c5,Wagner Inc,Unknown,SMB,Unknown,jennifermiles@robinson-lawrence.com,250000,2021-08-03,True
26867c91-78c1-4fc7-9af8-daf60a13a0c6,Wolfe LLC,Legal Tech,SMB,Southeast,eric51@james.com,25000,2021-04-21,True
0998cb51-d2ef-4285-baa7-ab7ee473007d,"Baker, Williams and Stevens",HR Tech,SMB,Midwest,dudleynicholas@carter.com,10000,2021-08-24,True
e52ef2ae-510c-47ae-bdb4-69e183049815,"Lee, Jones and Stanley",InsurTech,SMB,International,tracie31@ramirez-reid.com,250000,2021-04-09,True
16389580-81b8-40aa-a866-47160954a17b,Wood and Sons,FinTech,Mid-Market,Northeast,jacqueline19@jackson.biz,100000,2021-05-23,True
b013178b-a14f-4987-8005-9c83267b685a,Mayo-Bowman,HR Tech,SMB,International,gabriellecameron@perez.com,10000,2021-11-08,True
b6d69626-9fd9-4d64-b7dd-f075bb3145f6,Adams-Clark,E-Commerce,SMB,International,jason76@ellis.net,50000,2021-01-29,True
444a50f9-ebd1-421d-bba8-12c9901933e4,"Baker, Richards and Hurst",FinTech,SMB,Northeast,icox@snyder.com,50000,2021-04-19,True
e66f6c84-c592-405a-bb05-9b9f4ab73dff,"Moore, Becker and Carlson",InsurTech,Mid-Market,Southeast,djames@king.com,250000,2021-10-03,True
fa154336-4ff5-46c5-b0b3-0795667b7a6b,"Dyer, Potter and Mack",InsurTech,SMB,Southeast,daniel62@smith-bowen.com,100000,2021-02-16,True
69bfa70f-4c3e-48cc-b54e-75143faa7e2a,"Gill, Romero and Rodriguez",HealthTech,SMB,International,meagan89@hernandez.net,100000,2021-11-02,True
196e6397-d289-4e5a-9607-cd7deab92f8f,"Sellers, George and Burns",Legal Tech,Enterprise,Northeast,hickmannatasha@allen-allen.org,250000,2021-05-17,True
6f1aa534-6fb3-42ca-9111-c9a3ed3d3dae,Miller Group,HR Tech,SMB,n/a,spenceamanda@anderson.net,25000,2021-09-17,True
c37cdb31-8853-482d-9c12-c030dbc381d1,Baker PLC,Legal Tech,Mid-Market,Southeast,ibrandt@vaughn.com,250000,2021-09-29,True
6cff730f-8bf6-4874-82a7-621229b36b80,Lam-Hayes,HR Tech,SMB,Midwest,jeffreymorgan@spencer.com,50000,2021-05-03,True
07a184eb-b889-44c8-94a8-34f824db4a3d,Jones Inc,HealthTech,SMB,Northeast,chad34@washington.org,25000,2021-03-07,True
d4cf9388-ada2-4e8f-baab-2491925378f5,"Kennedy, Mueller and Aguirre",EdTech,Enterprise,West,clintonhopkins@henderson-owens.com,25000,2021-06-09,True
7a063d7c-fe0e-4f09-9344-c5c413ab59d3,"Valdez, Lucas and Brown",HR Tech,Mid-Market,Northeast,lauren13@lee.com,10000,2021-10-29,True
602a0838-25b8-419a-973c-edf3716722b4,White-Ford,N/A,SMB,Northeast,ramosmichelle@garcia.com,25000,2021-05-23,True
b5ea50e1-373a-4fc2-a78b-9e81a8a8410b,House and Sons,E-Commerce,Mid-Market,Southwest,richardolson@barrera-martin.com,100000,2021-07-28,True
31ab1285-ba06-4515-b6a7-7f87b64570c5,Baker-Bowers,HealthTech,SMB,West,smitchell@cowan.com,10000,2021-02-01,True
0d1f1aaf-e1ea-47bc-ba27-dc913aa92ca6,Phillips Inc,HR Tech,SMB,Southeast,adkinsbrian@woods.com,100000,2021-04-04,True
