payroll_id,employee_id,department,cost_center,salary_account,pay_period_start,pay_period_end,gross_pay,tax_withheld,net_pay,payment_date,pay_type,created_at
f42304d0-e21d-44dc-989b-12775fc248bf,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-01-01,2021-01-31,7325.0,2272.74,5052.26,2021-02-02,Salary,2021-01-31
b433bfb4-14d6-4893-8f1a-67ec2f45b94a,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-02-01,2021-02-28,7325.0,2272.74,5052.26,2021-03-02,Salary,2021-02-28
6d24ad1f-591d-4929-ac9a-beeaa337787f,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-03-01,2021-03-31,7325.0,2272.74,5052.26,2021-04-02,Salary,2021-03-31
98ca5f51-d1c7-4c29-9ff0-ef61e51abc15,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-04-01,2021-04-30,7325.0,2272.74,5052.26,2021-05-02,Salary,2021-04-30
2391c4ca-3a81-4099-9328-ccf8c45f7a6a,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-05-01,2021-05-31,7325.0,2272.74,5052.26,2021-06-02,Salary,2021-05-31
3c82f117-b346-4ca3-8cdd-23af456fa414,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-06-01,2021-06-30,7325.0,2272.74,5052.26,2021-07-02,Salary,2021-06-30
a18d9540-c50a-4b2a-94c1-2678dcabdd9e,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-07-01,2021-07-31,7325.0,2272.74,5052.26,2021-08-02,Salary,2021-07-31
dbc5d917-6d05-440d-be42-ff94cbab81c5,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-08-01,2021-08-31,7325.0,2272.74,5052.26,2021-09-02,Salary,2021-08-31
93d19733-e1ed-4f71-936b-b6031f90590d,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-09-01,2021-09-30,7325.0,2272.74,5052.26,2021-10-02,Salary,2021-09-30
f8d3778f-bae1-474f-8aee-d81576d29012,11581bee-1622-4b90-8318-76d653410679,Engineering,COGS,5300,2021-10-01,2021-10-31,7325.0,2272.74,5052.26,2021-11-02,Salary,2021-10-31
