bill_id,vendor_id,expense_account_id,bill_date,due_date,amount,status,description,currency,created_at
89a41952-8913-420d-b9c8-7b1a9cfa5b4a,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-01-07,2021-02-06,2506.07,Paid,Amazon Web Services -- January 2021,USD,2021-01-07
7e0d5fcd-b91d-4712-8a14-79df02aa0e40,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-02-04,2021-03-06,2305.19,Paid,Amazon Web Services -- February 2021,USD,2021-02-04
fcf02058-1380-4784-885c-29822d2ad45c,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-03-07,2021-04-06,1754.53,Paid,Amazon Web Services -- March 2021,USD,2021-03-07
f5e2a260-60b6-4127-806e-fe3237a33e30,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-04-04,2021-05-04,2207.45,Paid,Amazon Web Services -- April 2021,USD,2021-04-04
7dfd693f-4ddd-4dbb-9e00-bd867739ab07,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-05-05,2021-06-04,1643.92,Paid,Amazon Web Services -- May 2021,USD,2021-05-05
dea430ce-c9d8-435f-b8eb-97c548b87748,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-06-05,2021-07-05,2255.16,Paid,AMAZON WEB SERVICES -- JUNE 2021,usd,2021-06-05
6c02cc5f-f930-487c-9106-48c6c603c5c6,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-07-04,2021-08-03,2995.01,Paid,Amazon Web Services -- July 2021,USD,2021-07-04
de55b948-0228-4a5d-a558-aaf3c45d5ea9,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-08-06,2021-09-05,3400.16,Open,Amazon Web Services -- August 2021,USD,2021-08-06
5c488ff6-9131-442e-aaed-1aeaef4cea9b,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-09-02,2021-10-02,2238.84,Paid,Amazon Web Services -- September 2021,USD,2021-09-02
15506687-6f7f-460e-a34a-222f0bfadde1,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-10-04,2021-11-03,1704.46,Paid,Amazon Web Services -- October 2021,USD,2021-10-04
0625f64f-e124-4393-a364-47dc70d4e596,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-11-03,2021-12-03,1814.08,Paid,Amazon Web Services -- November 2021,USD,2021-11-03
66e006c2-8577-499e-a9f4-47b509e18f85,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2021-12-03,2022-01-02,1729.3,Paid,Amazon Web Services -- December 2021,USD,2021-12-03
9fbd5c09-29aa-4ed6-84a3-85ff51e045dd,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-01-07,2022-02-06,3799.71,Paid,Amazon Web Services -- January 2022,USD,2022-01-07
c7926f2c-ecbd-41a0-be82-e8589d3f07f2,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-02-06,2022-03-08,1617.68,Open,Amazon Web Services -- February 2022,USD,2022-02-06
b7555d87-228e-4ab2-aaa2-1234708dc4a4,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-03-04,2022-04-03,2637.09,Paid,Amazon Web Services -- March 2022,USD,2022-03-04
f0b88748-f51e-434b-9445-e1ad20a2da3c,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-04-07,2022-05-07,4415.36,Paid,Amazon Web Services -- April 2022,USD,2022-04-07
1538093d-925d-49c7-b4d8-b7be44e9848d,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-05-05,2022-06-04,4033.86,Paid,Amazon Web Services -- May 2022,USD,2022-05-05
81993ccb-ba83-4348-8af8-1a9a4a576e15,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-06-02,2022-07-02,4531.87,Open,Amazon Web Services -- June 2022,USD,2022-06-02
9c82fdec-16eb-4036-9576-05a27847dce7,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-07-05,2022-08-04,2144.57,Paid,Amazon Web Services -- July 2022,USD,2022-07-05
d8162b72-3706-42a4-abae-852cb3e07853,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-08-03,2022-09-02,4746.78,Paid,Amazon Web Services -- August 2022,USD,2022-08-03
3044872f-b79d-4eb8-859b-747be1dbb95a,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-09-04,2022-10-04,2628.86,Paid,Amazon Web Services -- September 2022,USD,2022-09-04
fec002d7-48e4-4891-afec-99d159d434ca,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-10-02,2022-11-01,4655.26,Paid,Amazon Web Services -- October 2022  ,USD,2022-10-02
35228836-44eb-4a16-a6c7-859d40353d79,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-11-07,2022-12-07,4238.75,Open,Amazon Web Services -- November 2022,USD,2022-11-07
822e5815-accd-4167-bcd7-7f7b799f83b1,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2022-12-04,2023-01-03,3587.65,Paid,Amazon Web Services -- December 2022,USD,2022-12-04
ec4944e3-9074-4a95-8682-8d4ac6ed7c48,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-01-04,2023-02-03,2321.32,Paid,Amazon Web Services -- January 2023,USD,2023-01-04
97113f4b-5970-4665-a6ef-27042fc9d72e,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-02-07,2023-03-09,2404.21,Paid,Amazon Web Services -- February 2023,USD,2023-02-07
a4a2f27c-10f7-42e1-803c-5e86a1dbd850,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-03-06,2023-04-05,5951.21,Paid,Amazon Web Services -- March 2023,USD,2023-03-06
ec5f435d-dd8d-4216-abc1-118da446354d,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-04-02,2023-05-02,5977.81,Paid,Amazon Web Services -- April 2023,USD,2023-04-02
aa67a783-b0f9-4fb5-b511-88c4928d672a,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-05-07,2023-06-06,4089.18,Paid,Amazon Web Services -- May 2023,USD,2023-05-07
b280c26a-e1a9-4b7e-a356-17c3eb6235d2,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-06-04,2023-07-04,2736.96,Paid,Amazon Web Services -- June 2023,USD,2023-06-04
8a6dc714-0d42-43f7-96e5-e5cd65cd058a,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-07-05,2023-08-04,6546.65,Paid,Amazon Web Services -- July 2023,USD,2023-07-05
e62834ef-51cb-42a5-8a3f-72a4e5dca861,6151e947-dee9-4bf3-96cb-cb0b0b7c4753,76cd4070-0590-4ff0-ba1f-b2f713487362,2023-08-03,2023-09-02,3273.96,Paid,Amazon Web Services -- August 2023,USD,2023-08-03
